"구분별","피해정도별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2019 년","2020 년","2021 년","2022 년",
"10대","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.64","5.6","5.61","5.76","5.79","","6.5","6.8117216","6.7867435",
"10대","경제위기","현대사회 위험요인에 따른 피해정도","","6.21","6.1","6.22","6.21","6","","6.67","6.5073619","6.830617",
"10대","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.6616152","6.6410309",
"10대","안보","현대사회 위험요인에 따른 피해정도","","","","6.11","6.22","6.03","","6.12","","",
"10대","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.84","6.2","6.17","6.16","6.19","","6.43","","",
"10대","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.59","6.5","","","","","6.83","7.1487562","6.7903697",
"10대","화재","현대사회 위험요인에 따른 피해정도","","5.66","5.6","","","","","","","",
"10대","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.55","5.9","","","","","","","",
"10대","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3712498",
"20대","종합","현대사회 위험요인에 따른 피해정도","","5.92","6.2","6.2","6.13","6.18","","6.75","6.9136728","6.6338947",
"20대","자연재해","현대사회 위험요인에 따른 피해정도","","5.8","6.2","6.27","6.22","6.21","","6.1","5.7987411","6.507425",
"20대","교통사고","현대사회 위험요인에 따른 피해정도","","6.24","6.5","","","","","","","",
"20대","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.28","6.25","6.23","","5.95","6.1800376","6.41863",
"20대","실업","현대사회 위험요인에 따른 피해정도","","6.11","6.3","6.14","6.16","6.37","","7.49","7.3611937","6.7544298",
"20대","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.16","6.6","6.57","6.4","6.41","","5.77","","",
"20대","감염병","현대사회 위험요인에 따른 피해정도","","5.62","6.4","6.41","6.28","6.25","","8.08","7.7177317","7.4117907",
"20대","부정부패","현대사회 위험요인에 따른 피해정도","","5.69","5.7","5.68","5.61","5.9","","7.04","7.1059268","6.5643279",
"20대","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.47","6.6","6.61","6.53","6.41","","6.9","6.9528539","6.5775311",
"20대","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.66","5.8","5.71","5.64","5.84","","7.14","7.2717446","6.6181387",
"20대","경제위기","현대사회 위험요인에 따른 피해정도","","6.29","6.3","6.22","6.18","6.21","","7.07","6.9276935","6.9254514",
"20대","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.6247294","6.4786408",
"20대","안보","현대사회 위험요인에 따른 피해정도","","","","6.11","6.06","6.07","","6.08","","",
"20대","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.85","6.2","6.15","6.15","6.12","","6.47","","",
"20대","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.62","6.4","","","","","6.96","7.1960761","6.4712829",
"20대","화재","현대사회 위험요인에 따른 피해정도","","5.63","5.8","","","","","","","",
"20대","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.76","6","","","","","","","",
"20대","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2451932",
"20대 이하","종합","현대사회 위험요인에 따른 피해정도","","","","","","","6.54","","","",
"20대 이하","자연재해","현대사회 위험요인에 따른 피해정도","","","","","","","6.06","","","",
"20대 이하","안전사고","현대사회 위험요인에 따른 피해정도","","","","","","","6.09","","","",
"20대 이하","실업","현대사회 위험요인에 따른 피해정도","","","","","","","7.54","","","",
"20대 이하","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","","","","","","5.91","","","",
"20대 이하","감염병","현대사회 위험요인에 따른 피해정도","","","","","","","5.68","","","",
"20대 이하","부정부패","현대사회 위험요인에 따른 피해정도","","","","","","","7.11","","","",
"20대 이하","폭력 범죄","현대사회 위험요인에 따른 피해정도","","","","","","","7.02","","","",
"20대 이하","사회 갈등","현대사회 위험요인에 따른 피해정도","","","","","","","6.64","","","",
"20대 이하","경제위기","현대사회 위험요인에 따른 피해정도","","","","","","","7.19","","","",
"20대 이하","안보","현대사회 위험요인에 따른 피해정도","","","","","","","6.48","","","",
"20대 이하","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","","","","","","6.18","","","",
"30대","종합","현대사회 위험요인에 따른 피해정도","","5.85","6.2","6.18","6.18","6.17","6.55","6.89","7.0430418","6.6546192",
"30대","자연재해","현대사회 위험요인에 따른 피해정도","","5.84","6.2","6.18","6.23","6.17","5.9","6.15","5.9694553","6.5033244",
"30대","교통사고","현대사회 위험요인에 따른 피해정도","","6.07","6.4","","","","","","","",
"30대","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.03","6.02","6.15","6.17","6.21","6.3949259","6.3909684",
"30대","실업","현대사회 위험요인에 따른 피해정도","","6.11","6.3","6.39","6.33","6.27","7.54","7.5","7.3351177","6.832577",
"30대","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.23","6.5","6.49","6.54","6.37","5.9","5.81","","",
"30대","감염병","현대사회 위험요인에 따른 피해정도","","5.67","6.4","6.37","6.38","6.25","5.68","7.84","7.7282636","7.5217874",
"30대","부정부패","현대사회 위험요인에 따른 피해정도","","5.6","5.8","5.8","5.79","5.98","7.04","7.36","7.3627392","6.6286502",
"30대","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.19","6.4","6.46","6.45","6.42","7.06","7.13","7.1360062","6.4573985",
"30대","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.67","5.8","5.81","5.83","5.85","6.68","7.43","7.5067582","6.649887",
"30대","경제위기","현대사회 위험요인에 따른 피해정도","","6.16","6.3","6.39","6.36","6.26","7.36","7.12","7.0221395","7.0027859",
"30대","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.7455707","6.4840072",
"30대","안보","현대사회 위험요인에 따른 피해정도","","","","5.92","5.85","6.06","6.49","6.32","","",
"30대","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.73","6.2","6.1","6.15","6.06","6.22","6.65","","",
"30대","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.5","6.3","","","","","7.16","7.2294415","6.4689854",
"30대","화재","현대사회 위험요인에 따른 피해정도","","5.54","5.8","","","","","","","",
"30대","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.69","6","","","","","","","",
"30대","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2604396",
"40대","종합","현대사회 위험요인에 따른 피해정도","","5.88","6.2","6.15","6.12","6.22","6.68","6.89","7.0792616","6.7218384",
"40대","자연재해","현대사회 위험요인에 따른 피해정도","","5.72","6.2","6.22","6.12","6.19","6.08","6.11","6.0853359","6.5913033",
"40대","교통사고","현대사회 위험요인에 따른 피해정도","","6.06","6.4","","","","","","","",
"40대","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.23","6.18","6.22","6.42","6.17","6.4799302","6.4911",
"40대","실업","현대사회 위험요인에 따른 피해정도","","6.16","6.3","6.24","6.23","6.29","7.56","7.54","7.3067111","6.8672533",
"40대","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.15","6.5","6.48","6.4","6.45","6.15","5.89","","",
"40대","감염병","현대사회 위험요인에 따른 피해정도","","5.64","6.3","6.37","6.33","6.39","5.7","7.75","7.6945287","7.5255877",
"40대","부정부패","현대사회 위험요인에 따른 피해정도","","5.57","5.7","5.66","5.64","6.04","7.1","7.37","7.4380407","6.7303004",
"40대","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.29","6.4","6.4","6.41","6.47","6.95","7.08","7.1453053","6.6022374",
"40대","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.62","5.7","5.68","5.67","5.86","7.01","7.53","7.5042364","6.7736718",
"40대","경제위기","현대사회 위험요인에 따른 피해정도","","6.24","6.3","6.27","6.26","6.27","7.48","7.09","7.0352268","6.9437172",
"40대","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.8376984","6.5346635",
"40대","안보","현대사회 위험요인에 따른 피해정도","","","","6.11","6.03","6.14","6.74","6.33","","",
"40대","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.74","6","6.02","6","6.15","6.35","6.68","","",
"40대","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.61","6.3","","","","","7.19","7.2656027","6.5225471",
"40대","화재","현대사회 위험요인에 따른 피해정도","","5.67","5.8","","","","","","","",
"40대","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","5.99","6.1","","","","","","","",
"40대","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.3578411",
"50대","종합","현대사회 위험요인에 따른 피해정도","","5.86","6.1","6.03","6.05","6.14","6.66","6.85","7.0013318","6.6607112",
"50대","자연재해","현대사회 위험요인에 따른 피해정도","","5.73","6.3","6.13","6.2","6.1","6.17","6.18","6.1648108","6.6010916",
"50대","교통사고","현대사회 위험요인에 따른 피해정도","","6.09","6.3","","","","","","","",
"50대","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.24","6.16","6.13","6.44","6.14","6.322265","6.414942",
"50대","실업","현대사회 위험요인에 따른 피해정도","","6.05","6.2","6.07","6.1","6.33","7.64","7.65","7.4229088","6.8081934",
"50대","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.11","6.5","6.3","6.32","6.31","6","5.98","","",
"50대","감염병","현대사회 위험요인에 따른 피해정도","","5.59","6.3","6.2","6.26","6.23","5.93","7.99","7.9325117","7.4272894",
"50대","부정부패","현대사회 위험요인에 따른 피해정도","","5.63","5.6","5.67","5.63","5.93","7.03","7.16","7.214723","6.6638062",
"50대","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.19","6.4","6.26","6.24","6.32","7.01","6.82","7.0004018","6.5397474",
"50대","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.66","5.6","5.56","5.59","5.77","6.73","7.35","7.3549557","6.680044",
"50대","경제위기","현대사회 위험요인에 따른 피해정도","","6.11","6.2","6.11","6.15","6.27","7.39","7.17","7.0710669","6.8958507",
"50대","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.5326559","6.5248298",
"50대","안보","현대사회 위험요인에 따른 피해정도","","","","6.04","6.03","6.19","6.71","6.37","","",
"50대","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.6","5.9","5.81","5.84","5.93","6.25","6.46","","",
"50대","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.69","6.3","","","","","6.9","6.9970188","6.4457622",
"50대","화재","현대사회 위험요인에 따른 피해정도","","5.64","5.7","","","","","","","",
"50대","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.08","6.2","","","","","","","",
"50대","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2662669",
"60대 이상","종합","현대사회 위험요인에 따른 피해정도","","5.73","6","5.84","5.91","5.94","6.62","6.47","6.6838864","6.5360638",
"60대 이상","자연재해","현대사회 위험요인에 따른 피해정도","","5.69","6.1","5.83","6","5.87","6.15","5.87","5.9849232","6.3935165",
"60대 이상","교통사고","현대사회 위험요인에 따른 피해정도","","6.01","6.3","","","","","","","",
"60대 이상","안전사고","현대사회 위험요인에 따른 피해정도","","","","5.98","6.04","5.97","6.19","5.86","5.9138675","6.2897205",
"60대 이상","실업","현대사회 위험요인에 따른 피해정도","","5.63","5.9","5.87","5.87","6.07","7.39","7.3","7.2399679","6.8083535",
"60대 이상","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.04","6.3","6.07","6.24","6.13","6.12","5.96","","",
"60대 이상","감염병","현대사회 위험요인에 따른 피해정도","","5.63","6.2","6.07","6.13","6.04","5.73","7.87","7.8115456","7.2544819",
"60대 이상","부정부패","현대사회 위험요인에 따른 피해정도","","5.42","5.6","5.51","5.57","5.7","7.05","6.67","6.8625506","6.5776778",
"60대 이상","폭력 범죄","현대사회 위험요인에 따른 피해정도","","5.95","6.1","6.09","6.14","6.09","6.99","6.33","6.5409306","6.4083454",
"60대 이상","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.5","5.4","5.43","5.47","5.59","6.77","6.73","6.9534914","6.6219801",
"60대 이상","경제위기","현대사회 위험요인에 따른 피해정도","","5.99","6","5.87","5.95","6.07","7.43","6.83","6.9367712","6.8741652",
"60대 이상","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.0398638","6.2517699",
"60대 이상","안보","현대사회 위험요인에 따른 피해정도","","","","5.93","5.98","6.16","6.65","6.07","","",
"60대 이상","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.33","5.5","5.6","5.63","5.71","6.28","5.87","","",
"60대 이상","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.55","6.2","","","","","6.27","6.5549518","6.2370607",
"60대 이상","화재","현대사회 위험요인에 따른 피해정도","","5.55","5.7","","","","","","","",
"60대 이상","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.17","6.3","","","","","","","",
"60대 이상","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.1796308",
"중졸 이하","종합","현대사회 위험요인에 따른 피해정도","","5.69","5.8","5.94","5.92","5.87","6.59","6.39","6.3833247","6.4265467",
"중졸 이하","자연재해","현대사회 위험요인에 따른 피해정도","","5.5","6","5.92","6.07","5.69","6.29","5.73","5.5097613","6.184231",
"중졸 이하","교통사고","현대사회 위험요인에 따른 피해정도","","5.97","6.1","","","","","","","",
"중졸 이하","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.07","6.17","5.84","6.08","5.82","5.5586972","6.2302362",
"중졸 이하","실업","현대사회 위험요인에 따른 피해정도","","5.71","5.7","5.95","5.81","6.12","7.53","7.27","6.9223178","6.7006525",
"중졸 이하","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","5.98","6.2","6.16","6.18","6.01","5.94","5.89","","",
"중졸 이하","감염병","현대사회 위험요인에 따른 피해정도","","5.49","6.1","6.13","6.14","5.85","5.65","7.85","7.4815797","7.3032379",
"중졸 이하","부정부패","현대사회 위험요인에 따른 피해정도","","5.36","5.4","5.58","5.56","5.65","7.26","6.57","6.7168713","6.564474",
"중졸 이하","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.09","6","6.28","6.11","6.07","6.98","6.32","6.2816094","6.227349",
"중졸 이하","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.46","5.3","5.47","5.46","5.6","6.82","6.63","6.7804979","6.5463611",
"중졸 이하","경제위기","현대사회 위험요인에 따른 피해정도","","6.02","5.8","6.03","5.9","5.98","7.27","6.79","6.6153935","6.834998",
"중졸 이하","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","5.7508994","5.9516339",
"중졸 이하","안보","현대사회 위험요인에 따른 피해정도","","","","5.9","6.06","6.1","6.4","5.95","","",
"중졸 이하","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.42","5.4","5.83","5.66","5.65","6.28","5.77","","",
"중졸 이하","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.48","6.1","","","","","6.14","6.2156196","6.0069669",
"중졸 이하","화재","현대사회 위험요인에 따른 피해정도","","5.54","5.5","","","","","","","",
"중졸 이하","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6","6.2","","","","","","","",
"중졸 이하","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.1418736",
"고졸 이하","종합","현대사회 위험요인에 따른 피해정도","","5.86","6.1","6.07","6.05","6.09","6.62","6.68","6.8145747","6.6133156",
"고졸 이하","자연재해","현대사회 위험요인에 따른 피해정도","","5.76","6.2","6.08","6.13","6.15","6.15","6.1","6.1556232","6.4932628",
"고졸 이하","교통사고","현대사회 위험요인에 따른 피해정도","","6.09","6.3","","","","","","","",
"고졸 이하","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.15","6.14","6.2","6.32","6.06","6.1460148","6.3819384",
"고졸 이하","실업","현대사회 위험요인에 따른 피해정도","","6.07","6.1","6.12","6.08","6.14","7.48","7.4","7.2464329","6.8458321",
"고졸 이하","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.17","6.3","6.36","6.35","6.34","6.03","6.06","","",
"고졸 이하","감염병","현대사회 위험요인에 따른 피해정도","","5.61","6.2","6.25","6.23","6.28","5.76","7.96","7.8199652","7.3501506",
"고졸 이하","부정부패","현대사회 위험요인에 따른 피해정도","","5.63","5.6","5.65","5.63","5.85","7.05","6.88","6.8755346","6.5885064",
"고졸 이하","폭력 범죄","현대사회 위험요인에 따른 피해정도","","6.23","6.4","6.35","6.32","6.21","7.05","6.63","6.8275546","6.5123974",
"고졸 이하","사회 갈등","현대사회 위험요인에 따른 피해정도","","5.63","5.6","5.65","5.6","5.69","6.73","6.96","7.0261751","6.6636894",
"고졸 이하","경제위기","현대사회 위험요인에 따른 피해정도","","6.13","6.1","6.14","6.14","6.14","7.33","6.96","6.9395702","6.8779846",
"고졸 이하","사이버 보안, 개인정보유출 문제","현대사회 위험요인에 따른 피해정도","","","","","","","","","6.267975","6.4098223",
"고졸 이하","안보","현대사회 위험요인에 따른 피해정도","","","","6.07","6.02","6.08","6.65","6.23","","",
"고졸 이하","컴퓨터 바이러스 사이버범죄로 인한 혼란","현대사회 위험요인에 따른 피해정도","","5.61","5.8","5.92","5.88","5.91","6.28","6.23","","",
"고졸 이하","인터넷 상의 괴롭힘","현대사회 위험요인에 따른 피해정도","","5.63","6.3","","","","","6.65","6.840902","6.397073",
"고졸 이하","화재","현대사회 위험요인에 따른 피해정도","","5.62","5.7","","","","","","","",
"고졸 이하","빈부격차 확대","현대사회 위험요인에 따른 피해정도","","6.02","6.1","","","","","","","",
"고졸 이하","아동, 노인, 장애인 방임 및 학대","현대사회 위험요인에 따른 피해정도","","","","","","","","","","6.2258147",
"대졸 이하","종합","현대사회 위험요인에 따른 피해정도","","5.88","6.2","6.12","6.12","6.2","6.59","6.84","7.034418","6.6880551",
"대졸 이하","자연재해","현대사회 위험요인에 따른 피해정도","","5.83","6.3","6.19","6.17","6.18","5.99","6.15","6.038529","6.5729962",
"대졸 이하","교통사고","현대사회 위험요인에 따른 피해정도","","6.12","6.5","","","","","","","",
"대졸 이하","안전사고","현대사회 위험요인에 따른 피해정도","","","","6.18","6.12","6.18","6.23","6.1","6.3612715","6.4420854",
"대졸 이하","실업","현대사회 위험요인에 따른 피해정도","","6.06","6.4","6.2","6.2","6.33","7.55","7.53","7.3914704","6.8097169",
"대졸 이하","핵폐기물 방사능 사고","현대사회 위험요인에 따른 피해정도","","6.18","6.6","6.44","6.43","6.41","6.03","5.84","","",
